,bin_pT1,bin_pT2,SF_b2MisID,SF_q2MisID,SF_j2MisID,sigma_SF_b2MisID,sigma_SF_q2MisID,sigma_SF_j2MisID
0,20.0,25.0,1.0616945614940658,1.0616945614940658,1.02679732,0.11806781232633333,0.0789300739774106,0.05489577
1,25.0,30.0,1.1776611743659906,1.1776611743659906,0.96569836,0.11534484225135902,0.06402576884464793,0.04604289
2,30.0,40.0,1.4889014058919112,1.4889014058919112,0.96703374,0.10739837073380484,0.05873814760384119,0.04418809
3,40.0,50.0,0.9723271282004656,0.9723271282004656,0.90160079,0.0908767072782945,0.0529117769374003,0.04149803
4,50.0,65.0,0.8978423723781175,0.8978423723781175,0.91602756,0.1330525227954284,0.060035583662660943,0.04437043
5,65.0,80.0,0.8575195019938342,0.8575195019938342,0.72227627,0.16526170956662614,0.053955346540139885,0.04330899
